问题编号,应用场景,问题类别,具体问题,涉及工具,预期轮数,预期轮数,难度等级,数据源,
1,短线打板策略,打板专题,今天开盘啦概念题材中哪些涨停最多？请分析AI眼镜、字节跳动、微信蓝包等热门概念的涨停股票特征。,"tushareMcp_get_kpl_concept, tushareMcp_get_kpl_concept_cons, tushareMcp_get_stock_basic_info",3--4,3月4日,中等,tushare,
2,异常交易监控,龙虎榜分析,请分析今天龙虎榜上顺钠股份、中百集团等异常交易股票的资金流向和机构参与情况。,"tushareMcp_get_top_list, tushareMcp_get_top_inst, tushareMcp_get_stock_basic_info",3--4,3月4日,中等,tushare,
3,概念投资策略,概念板块轮动,当前文生视频概念、AI智能体、复合集流体等新兴概念哪个最有投资价值？请分析成分股和资金流向。,"tushareMcp_get_kpl_concept, tushareMcp_get_kpl_concept_cons, tushareMcp_get_daily",4--5,4月5日,较难,tushare,
4,市场情绪分析,涨跌停分析,请分析今天涨停和跌停股票的行业分布，找出市场热点和风险点。,"tushareMcp_get_limit_list_d, tushareMcp_get_stock_basic_info, tushareMcp_get_daily",3--4,3月4日,中等,tushare,
5,热点追踪,同花顺热榜追踪,请分析同花顺App今日热榜数据，找出最受关注的股票和概念。,"tushareMcp_get_ths_hot, tushareMcp_get_ths_index, tushareMcp_get_ths_daily",3--4,3月4日,中等,tushare,
6,人气股分析,东方财富热点,东方财富App热榜显示哪些股票人气最高？请分析这些股票的基本面和投资价值。,"tushareMcp_get_dc_hot, tushareMcp_get_dc_index, tushareMcp_get_income_statement",4--5,4月5日,中等,tushare,
7,基金配置策略,基金投资组合,我想构建一个包含科技、消费、医药主题的基金组合，请帮我筛选优质基金并分析风险收益。,"fund_SearchFunds, fund_BatchGetFundsDetail, fund_GetAssetAllocation, fund_AnalyzePortfolioRisk",4--6,4月6日,较难,yingmi,
8,投资观点研究,基金经理观点,请搜索近期基金经理对人工智能、新能源行业的最新观点和投资策略。,"fund_SearchManagerViewpoint, miraSearchMcp_search_input",2--3,2月3日,简单,yingmi,
9,全球投资配置,港美股机会,请分析港股和美股市场的投资机会，重点关注科技股的表现。,"tushareMcp_get_hk_basic, tushareMcp_get_us_basic, tushareMcp_get_hk_daily, tushareMcp_get_us_daily",4--5,4月5日,中等,tushare,
10,投资回测分析,基金业绩回测,请帮我回测一个包含易方达蓝筹精选、华夏成长、南方成份精选的基金组合在过去一年的表现。,"fund_BatchGetFundNavHistory, fund_GetFundsBackTest, fund_GetBatchFundPerformance",3--4,3月4日,中等,yingmi,
